sample_index,current_best_R,current_R
425,0.1489,0.1625
426,0.1489,0.1539
427,0.1489,0.3092
428,0.1489,0.1726
429,0.1489,0.2756
430,0.1489,0.1815
431,0.1489,0.1738
432,0.1489,0.7196
433,0.1489,0.1823
434,0.1489,0.18
435,0.1489,0.413
436,0.1489,0.5801
437,0.1489,0.4385
438,0.1489,0.1678
439,0.1489,0.265
440,0.1489,0.782
441,0.1489,0.5588
442,0.1489,0.4387
443,0.1489,0.3719
444,0.1489,0.4205
445,0.1489,0.2932
446,0.1489,0.2807
447,0.1489,0.2848
448,0.1489,0.5935
449,0.1489,0.179
450,0.1489,0.4648
451,0.1489,0.5579
452,0.1489,0.1609
453,0.1489,0.3761
454,0.1489,0.3449
455,0.1489,0.4467
456,0.1489,0.2212
457,0.1366,0.1366
458,0.1366,0.1683
459,0.1366,0.285
460,0.1366,0.6239
461,0.1366,0.2095
462,0.1366,0.1674
463,0.1366,0.5291
464,0.1366,0.3048
465,0.1366,0.4818
466,0.1366,0.1558
467,0.1366,0.1605
468,0.1366,0.1958
469,0.1366,0.418
470,0.1366,0.1734
471,0.1366,0.155
472,0.1366,0.3891
473,0.1366,0.1983
474,0.1366,0.5274
475,0.1366,0.2058
476,0.1366,0.1931
477,0.1366,0.1509
478,0.1366,0.5622
479,0.1366,0.148
480,0.1366,0.2602
481,0.1366,0.4224
482,0.1366,0.2387
483,0.1366,0.1768
484,0.1366,0.3109
485,0.1366,0.1986
486,0.1366,0.5912
487,0.1366,0.2133
488,0.1366,0.1545
489,0.1366,0.2185
490,0.1366,0.6358
491,0.1366,0.3549
492,0.1366,0.1907
493,0.1366,0.427
494,0.1366,0.468
495,0.1366,0.1619
496,0.1366,0.3237
497,0.1366,0.403
498,0.1366,0.1404
499,0.1366,0.3399
500,0.1366,0.2873
501,0.1366,0.4697
502,0.1366,0.289
503,0.1366,0.163
504,0.1366,0.1716
505,0.1366,0.4012
506,0.1366,0.1768
507,0.1366,0.1603
508,0.1366,0.283
509,0.1366,0.176
510,0.1366,0.3925
511,0.1366,0.1393
512,0.1366,0.6398
513,0.1366,0.8755
514,0.1366,0.3644
515,0.1366,0.1762
516,0.1366,0.1941
517,0.1366,0.3581
518,0.1366,0.3051
519,0.1366,0.1843
520,0.1366,0.1514
521,0.1366,0.1635
522,0.1366,0.4579
523,0.1366,0.1796
524,0.1366,0.5086
525,0.1366,0.2848
526,0.1366,0.6028
527,0.1366,0.1811
528,0.1366,0.8364
529,0.1366,0.1759
530,0.1366,0.1941
531,0.1366,0.2403
532,0.1366,0.1803
533,0.1366,0.2682
534,0.1366,0.1389
535,0.1366,0.3117
536,0.1366,0.1892
537,0.1366,0.3252
538,0.1366,0.4562
539,0.1366,0.2988
540,0.1366,0.3018
541,0.1366,0.1521
542,0.1366,0.4138
543,0.1366,0.1857
544,0.1366,0.1485
545,0.1366,0.1506
546,0.1366,0.1517
547,0.1366,0.7715
548,0.1366,0.6519
549,0.1366,0.3453
550,0.1366,0.1442
551,0.1366,0.7504
552,0.1366,0.24
553,0.1366,0.3192
554,0.1366,0.1826
555,0.1366,0.1928
556,0.1366,0.2777
557,0.1366,0.4087
558,0.1366,0.1704
559,0.1366,0.6096
560,0.1366,0.2473
561,0.1366,0.3378
562,0.1366,0.3363
563,0.1318,0.1318
564,0.1318,0.3888
565,0.1318,0.1641
566,0.1318,0.6408
567,0.1318,0.779
568,0.1318,0.1392
569,0.1318,0.2361
570,0.1318,0.4676
571,0.1318,0.1569
572,0.1318,0.7198
573,0.1318,0.1791
574,0.1318,0.198
575,0.1318,0.1531
576,0.1318,0.3126
577,0.1318,0.1449
578,0.1318,0.323
579,0.1318,0.1663
580,0.1318,0.1585
581,0.1318,0.1527
582,0.1318,0.545
583,0.1318,0.2491
584,0.1225,0.1225
585,0.1225,0.1498
586,0.1225,0.1874
587,0.1225,0.1737
588,0.1225,0.3677
589,0.1225,0.5011
590,0.1225,0.1807
591,0.1225,0.2312
592,0.1225,0.3107
593,0.1225,0.2948
594,0.1225,0.1515
595,0.1225,0.577
596,0.1225,0.2521
597,0.1225,0.3899
598,0.1225,0.1936
599,0.1225,0.8494
600,0.1225,0.3015
601,0.1225,0.2235
602,0.1225,0.1793
603,0.1225,0.4223
604,0.1225,0.2951
605,0.1225,0.2335
606,0.1225,0.3703
607,0.1225,0.247
608,0.1225,0.528
609,0.1225,0.1528
610,0.1225,0.2364
611,0.1225,0.5769
612,0.1225,0.3799
613,0.1225,0.1678
614,0.1225,0.1668
615,0.1225,0.169
616,0.1225,0.2664
617,0.1225,0.1529
618,0.1225,0.2971
619,0.1225,0.5535
620,0.1225,0.1464
621,0.1225,0.5328
622,0.1225,0.2852
623,0.1225,0.1547
624,0.1225,0.1553
625,0.1225,0.1792
626,0.1225,0.1351
627,0.1225,0.1522
628,0.1225,0.5539
629,0.1225,0.1981
630,0.1225,0.1721
631,0.1225,0.4259
632,0.1225,0.1634
633,0.1225,0.1324
634,0.1225,0.1452
635,0.1225,0.1442
636,0.1225,0.4361
637,0.1225,0.1977
638,0.1225,0.1289
639,0.1225,0.53
640,0.1225,0.1839
641,0.1225,0.4659
642,0.1225,0.3116
643,0.1225,0.1253
644,0.1225,0.4091
645,0.1225,0.1621
646,0.1225,0.1867
647,0.1225,0.2312
648,0.1225,0.1407
649,0.1225,0.2565
650,0.1225,0.132
651,0.1225,0.1313
652,0.1225,0.236
653,0.1225,0.4466
654,0.1225,0.185
655,0.1225,0.1928
656,0.1225,0.4688
657,0.1225,0.1468
658,0.1225,0.6512
659,0.1225,0.363
660,0.1225,0.154
661,0.1225,0.3053
662,0.1225,0.1979
663,0.1225,0.1534
664,0.1225,0.149
665,0.1225,0.2441
666,0.1225,0.5204
667,0.1225,0.2014
668,0.1225,0.1486
669,0.1225,0.1732
670,0.1225,0.1443
671,0.1225,0.5095
672,0.1225,0.3409
673,0.1225,0.2373
674,0.1225,0.2
675,0.1225,0.2772
676,0.1225,0.3615
677,0.1225,0.1824
678,0.1225,0.1417
679,0.1225,0.4563
680,0.1225,0.1667
681,0.1225,0.186
682,0.1225,0.1456
683,0.1225,0.1989
684,0.1225,0.4095
685,0.1225,0.1458
686,0.1225,0.4106
687,0.1225,0.1811
688,0.1225,0.6263
689,0.1225,0.3867
690,0.1225,0.3192
691,0.1225,0.1573
692,0.1225,0.1435
693,0.1225,0.1645
694,0.1225,0.2936
695,0.1225,0.1225
696,0.1225,0.1423
697,0.1225,0.3245
698,0.1225,0.432
699,0.1225,0.5024
700,0.1225,0.1836
701,0.1225,0.1423
702,0.1225,0.4368
703,0.1225,0.7013
704,0.1225,0.1674
705,0.1225,0.1662
706,0.1225,0.2162
707,0.1225,0.4225
708,0.1225,0.1776
709,0.1225,0.1418
710,0.1225,0.2453
711,0.1225,0.3643
712,0.1225,0.2746
713,0.1225,0.1335
714,0.1225,0.2502
715,0.1225,0.1387
716,0.1225,0.1767
717,0.1225,0.1829
718,0.1225,0.5651
719,0.1225,0.6374
720,0.1225,0.4598
721,0.1197,0.1197
722,0.1197,0.5735
723,0.1197,0.3069
724,0.1197,0.1358
725,0.1197,0.1896
726,0.1197,0.1563
727,0.1197,0.1808
728,0.1197,0.3516
729,0.1197,0.4794
730,0.1197,0.1403
731,0.1169,0.1169
732,0.1169,0.2489
733,0.1169,0.3999
734,0.1169,0.164
735,0.1169,0.4473
736,0.1169,0.1351
737,0.1169,0.5285
738,0.1169,0.4248
739,0.1169,0.2923
740,0.1169,0.1433
741,0.1169,0.5239
742,0.1169,0.3464
743,0.1169,0.1559
744,0.1169,0.2886
745,0.1169,0.2331
746,0.1169,0.2015
747,0.1169,0.3131
748,0.1169,0.1309
749,0.1169,0.1239
750,0.1169,0.5288
751,0.1169,0.4601
752,0.1169,0.1455
753,0.1169,0.128
754,0.1169,0.1704
755,0.1169,0.3067
756,0.1169,0.1489
757,0.1169,0.3424
758,0.1169,0.6231
759,0.1169,0.7209
760,0.1169,0.2408
761,0.1169,0.1516
762,0.1169,0.1256
763,0.1169,0.8508
764,0.1169,0.3496
765,0.1169,0.4194
766,0.1169,0.3251
767,0.1169,0.3725
768,0.1169,0.1674
769,0.1169,0.224
770,0.1169,0.3231
771,0.1169,0.2904
772,0.1169,0.2386
773,0.1169,0.1369
774,0.1169,0.1554
775,0.1169,0.2115
776,0.1169,0.7435
777,0.1169,0.2776
778,0.1169,0.5216
779,0.1169,0.1432
780,0.1169,0.153
781,0.1169,0.6256
782,0.1169,0.1789
783,0.1169,0.1192
784,0.1169,0.2004
785,0.1169,0.3001
786,0.1169,0.397
787,0.1169,0.3658
788,0.1169,0.1681
789,0.1169,0.391
790,0.1169,0.1473
791,0.1169,0.2098
792,0.1169,0.136
793,0.1169,0.158
794,0.1169,0.2503
795,0.1169,0.2873
796,0.1169,0.1645
797,0.1169,0.3609
798,0.1169,0.1929
799,0.1169,0.2985
800,0.1169,0.1682
801,0.1169,0.3917
802,0.1169,0.2014
803,0.1169,0.2659
804,0.1169,0.5748
805,0.1169,0.1291
806,0.1169,0.1334
807,0.1169,0.8328
808,0.1169,0.5478
809,0.1169,0.2264
810,0.1169,0.1467
811,0.1169,0.2884
812,0.1169,0.1458
813,0.1169,0.2243
814,0.1169,0.1411
815,0.1169,0.148
816,0.1169,0.1217
817,0.1169,0.5163
818,0.1169,0.3241
819,0.1169,0.1401
820,0.1169,0.1955
821,0.1169,0.4516
822,0.1169,0.449
823,0.1169,0.1304
824,0.1169,0.5247
825,0.1169,0.1429
826,0.1169,0.1236
827,0.1169,0.2071
828,0.1169,0.4332
829,0.1169,0.1429
830,0.1169,0.1803
831,0.1169,0.1515
832,0.1169,0.2772
833,0.1169,0.1251
834,0.1169,0.5677
835,0.1169,0.3026
836,0.1169,0.1448
837,0.1169,0.6571
838,0.1169,0.4638
839,0.1169,0.1248
840,0.1169,0.4412
841,0.1169,0.1738
842,0.1169,0.3968
843,0.1169,0.2617
844,0.1164,0.1164
845,0.1164,0.5937
846,0.1164,0.1508
847,0.1164,0.201
848,0.1164,0.4708
849,0.1164,0.1212
850,0.1164,0.1205
851,0.1164,0.2811
852,0.1164,0.1893
853,0.1164,0.1864
854,0.1164,0.4579
855,0.1164,0.2888
856,0.1164,0.1458
857,0.1164,0.4277
858,0.1164,0.4004
859,0.1164,0.4974
860,0.1164,0.2184
861,0.1164,0.46
862,0.1164,0.6999
863,0.1164,0.2426
864,0.1164,0.1809
865,0.1164,0.1601
866,0.1164,0.2644
867,0.1164,0.1373
868,0.1164,0.155
869,0.1164,0.1293
870,0.1164,0.5286
871,0.1164,0.4652
872,0.1164,0.1231
873,0.1164,0.3618
874,0.1164,0.2694
875,0.1164,0.1849
876,0.1164,0.4542
877,0.1164,0.3334
878,0.1164,0.1949
879,0.1164,0.3861
880,0.1164,0.1268
881,0.1164,0.1168
882,0.1164,0.238
883,0.1161,0.1161
884,0.1161,0.2884
885,0.1161,0.409
886,0.1161,0.1468
887,0.1161,0.5313
888,0.1161,0.3316
889,0.1161,0.1513
890,0.1161,0.1346
891,0.1161,0.3586
892,0.1161,0.1222
893,0.1161,0.12
894,0.1161,0.1184
895,0.1161,0.1178
896,0.1161,0.2429
897,0.107,0.107
898,0.107,0.1238
899,0.107,0.1417
900,0.107,0.1742
901,0.107,0.5189
902,0.107,0.1321
903,0.107,0.138
904,0.107,0.2161
905,0.107,0.1131
906,0.107,0.2885
907,0.107,0.2758
908,0.107,0.1202
909,0.107,0.2127
910,0.107,0.5108
911,0.107,0.1149
912,0.107,0.1261
913,0.107,0.4092
914,0.107,0.1887
915,0.107,0.1875
916,0.107,0.1243
917,0.107,0.5106
918,0.107,0.341
919,0.107,0.1272
920,0.107,0.1259
921,0.107,0.117
922,0.107,0.1271
923,0.107,0.1221
924,0.107,0.2127
925,0.107,0.3015
926,0.107,0.4151
927,0.107,0.1662
928,0.107,0.1415
929,0.107,0.1226
930,0.107,0.2319
931,0.107,0.2242
932,0.107,0.2268
933,0.107,0.1134
934,0.107,0.117
935,0.107,0.18
936,0.107,0.1198
937,0.107,0.1168
938,0.107,0.137
939,0.107,0.3234
940,0.107,0.1757
941,0.107,0.2089
942,0.107,0.295
943,0.107,0.1219
944,0.107,0.1956
945,0.107,0.1619
946,0.107,0.1355
947,0.107,0.1525
948,0.107,0.1128
949,0.107,0.2519
950,0.107,0.1707
