sample_index,current_best_R,current_R
506,0.1727,0.4138
507,0.1503,0.1503
508,0.1503,0.1968
509,0.1503,0.944
510,0.1503,0.6178
511,0.1503,0.179
512,0.1503,0.6606
513,0.1503,0.1678
514,0.1503,0.3864
515,0.1503,0.3422
516,0.1503,0.5626
517,0.1503,0.6153
518,0.1503,0.3203
519,0.1503,0.2255
520,0.1503,0.4924
521,0.1503,0.5153
522,0.1503,0.4131
523,0.1503,0.7707
524,0.1503,0.2764
525,0.1503,0.3642
526,0.1503,0.2507
527,0.1503,0.3026
528,0.1503,0.4707
529,0.1503,0.1836
530,0.1503,0.5451
531,0.1503,0.7149
532,0.1503,0.2222
533,0.1503,0.1705
534,0.1503,0.2083
535,0.1503,0.1892
536,0.1503,0.5028
537,0.1503,0.1931
538,0.1503,0.1747
539,0.1503,0.2666
540,0.1503,0.4859
541,0.1503,0.469
542,0.1503,0.1514
543,0.1503,0.3243
544,0.1503,0.2321
545,0.1503,0.2673
546,0.1503,0.3661
547,0.1503,0.2506
548,0.1503,0.4278
549,0.1503,0.5095
550,0.1503,0.3632
551,0.1503,0.2062
552,0.1503,0.8892
553,0.1503,0.3194
554,0.1503,0.3592
555,0.1503,0.6916
556,0.1503,0.1653
557,0.1503,0.4427
558,0.1503,0.3096
559,0.1503,0.2
560,0.1503,0.7258
561,0.1503,0.4366
562,0.1503,0.3934
563,0.1503,0.1538
564,0.1503,0.268
565,0.1503,0.5572
566,0.1503,0.3872
567,0.1503,0.9117
568,0.1503,0.2383
569,0.1503,0.2972
570,0.1503,0.3025
571,0.1503,0.4433
572,0.1503,0.5458
573,0.1503,0.738
574,0.1503,0.4447
575,0.1503,0.2223
576,0.1503,0.3528
577,0.1503,0.2894
578,0.1503,0.3027
579,0.1503,0.1786
580,0.1503,0.4276
581,0.1503,0.1843
582,0.1503,0.221
583,0.1503,0.1699
584,0.1408,0.1408
585,0.1408,0.1514
586,0.1408,0.3212
587,0.1408,0.465
588,0.1408,0.3885
589,0.1408,0.1521
590,0.1408,0.1793
591,0.1408,0.589
592,0.1408,0.3402
593,0.1408,0.2969
594,0.1408,0.7029
595,0.1408,0.3096
596,0.1408,0.226
597,0.1408,0.3867
598,0.1408,0.5054
599,0.1408,0.2781
600,0.1408,0.6023
601,0.1408,0.4346
602,0.1408,0.3639
603,0.1408,0.2066
604,0.1408,0.3613
605,0.1408,0.4657
606,0.1408,0.4865
607,0.1408,0.1412
608,0.1408,0.2269
609,0.1408,0.4513
610,0.1408,0.7615
611,0.1408,0.304
612,0.1408,0.3285
613,0.1408,0.1485
614,0.1408,0.1605
615,0.1408,0.3219
616,0.1408,0.3839
617,0.1408,1000.0
618,0.1408,0.6664
619,0.1408,0.3182
620,0.139,0.139
621,0.1346,0.1346
622,0.1346,0.3212
623,0.1346,0.3419
624,0.1346,0.3431
625,0.1346,0.233
626,0.1346,0.3161
627,0.1346,0.1569
628,0.1346,0.1816
629,0.1346,0.1473
630,0.1346,0.2047
631,0.1316,0.1316
632,0.1316,0.3627
633,0.1316,0.1683
634,0.1316,0.2657
635,0.1316,0.4323
636,0.1316,0.1753
637,0.1316,0.7356
638,0.1316,0.36
639,0.1316,0.4532
640,0.1316,0.3698
641,0.1316,0.5956
642,0.1316,0.1543
643,0.1316,0.354
644,0.1316,0.2254
645,0.1316,0.3677
646,0.1316,0.2911
647,0.1316,0.1597
648,0.1316,0.1567
649,0.1316,0.2234
650,0.1316,0.1754
651,0.1316,0.2456
652,0.1316,0.4512
653,0.1316,0.1325
654,0.1316,0.1537
655,0.1316,0.5189
656,0.1316,0.3004
657,0.1316,0.8695
658,0.1316,0.274
659,0.1316,0.1937
660,0.1316,0.3072
661,0.1316,0.3167
662,0.1316,0.1785
663,0.1316,1000.0
664,0.1316,0.3349
665,0.1316,0.1563
666,0.1316,0.2714
667,0.1316,0.4851
668,0.1316,0.1688
669,0.1316,0.2259
670,0.1316,0.4343
671,0.1316,0.2435
672,0.1316,0.1752
673,0.1316,0.3568
674,0.1316,0.4246
675,0.1316,1000.0
676,0.1316,0.1525
677,0.1316,0.1942
678,0.1316,0.1623
679,0.1316,0.5447
680,0.1316,0.4409
681,0.1316,0.1369
682,0.1316,0.2217
683,0.1316,0.1588
684,0.1316,0.394
685,0.1316,0.3323
686,0.1316,0.3579
687,0.1316,0.2732
688,0.1316,0.1635
689,0.1316,0.2207
690,0.1316,0.1867
