R_value,Energy
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0851,-15.34535996
0.0844,-15.34546443
0.0844,-15.34546443
0.0844,-15.34546443
0.0844,-15.34546443
0.0844,-15.34546443
0.0844,-15.34546443
0.0844,-15.34546443
0.0844,-15.34546443
0.0844,-15.34546443
0.0844,-15.34546443
0.0828,-15.34558378
0.0828,-15.34558378
0.0828,-15.34558378
0.0828,-15.34558378
0.0828,-15.34558378
0.0828,-15.34558378
0.0828,-15.34558378
0.0828,-15.34558378
0.082,-15.34567629
0.082,-15.34567629
0.082,-15.34567629
0.082,-15.34567629
0.082,-15.34567305
0.0815,-15.3458356
0.0813,-15.3458347
0.0813,-15.3458347
0.0813,-15.34572321
0.0813,-15.34570156
0.0809,-15.34590866
0.0809,-15.34590866
0.0809,-15.34590866
0.0809,-15.34590866
0.0809,-15.34590866
0.0808,-15.34544861
0.0808,-15.34544861
0.0808,-15.34590691
0.0808,-15.34590691
0.0808,-15.34590691
0.0808,-15.34590691
0.0808,-15.34590691
0.0808,-15.34597006
0.0808,-15.34597006
0.0807,-15.34595437
0.0807,-15.34595437
0.0807,-15.34593244
0.0807,-15.34593244
0.0807,-15.34593244
0.0807,-15.34593244
0.0807,-15.34593244
0.0807,-15.34593244
0.0807,-15.34593244
0.0807,-15.34593244
0.0807,-15.34593244
0.0807,-15.34597254
0.0807,-15.34597254
0.0807,-15.34597254
0.0807,-15.34597254
0.0807,-15.34597254
0.0807,-15.34597254
0.0807,-15.34597254
0.0808,-15.34596367
0.0808,-15.34596367
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0807,-15.34594413
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0795,-15.34573893
0.0788,-15.34689961
0.0788,-15.34689961
0.0788,-15.34689961
0.0788,-15.34689961
0.0788,-15.34689961
0.0788,-15.34689961
0.0788,-15.34689961
0.0788,-15.34689961
0.0788,-15.34689961
0.0786,-15.34667838
0.0786,-15.34667838
0.0786,-15.3468849
0.0781,-15.34629488
0.0781,-15.34629488
0.0781,-15.34629488
0.0781,-15.34629488
0.0781,-15.34629488
0.0781,-15.34629488
0.0781,-15.34671708
0.0781,-15.34671708
0.0779,-15.34655146
0.0779,-15.34655146
0.0779,-15.34655146
0.0779,-15.34655146
0.0779,-15.34655146
0.0779,-15.34623467
0.0779,-15.34623467
0.0779,-15.34623467
0.0777,-15.34665886
0.0777,-15.34665886
0.0773,-15.34641372
0.0775,-15.34652847
0.0774,-15.34626632
0.0774,-15.34626632
0.0774,-15.34626632
0.0774,-15.34626632
0.0774,-15.34626632
0.0774,-15.34610562
0.0774,-15.34610562
0.0773,-15.34618828
0.0773,-15.34618828
0.0773,-15.34618828
0.0773,-15.34618828
0.0772,-15.34624877
0.0773,-15.34623333
0.0773,-15.34623333
0.0772,-15.34628786
0.0772,-15.34628786
0.0772,-15.34628786
0.0773,-15.34622886
0.0774,-15.346284
